disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
ESZP018-13;2;120;40;60;8
ESZP035-14;2;60;52;57;0
ESZP042-14;2;120;106;98;18
ESZR002-13;2;180;172;180;21
ESZR006-13;2;180;119;132;0
ESZR019-14;2;180;67;116;0
ESZS001-17;1;60;33;33;0
ESZS012-17;1;30;6;0;6
ESZS025-17;1;60;41;46;0
ESZS028-17;1;60;15;15;0
ESZS031-17;1;60;4;0;4
ESZS034-17;1;60;21;20;0
ESZT011-17;1;38;23;38;0
ESZT014-17;1;40;22;39;0
ESZT016-17;1;38;34;30;0
ESZU002-17;2;120;66;90;0
ESZU010-17;1;60;49;60;49
ESZU017-17;2;60;35;47;0
ESZU020-17;2;60;73;47;31
LHE0001-19;2;60;58;62;0
LHE0003-19;2;60;14;18;0
LHE0004-19;2;80;46;53;0
LHZ0019-19;2;60;69;30;5
LHZ0024-19;1;40;30;37;0
LHZ0031-19;1;40;4;0;4
MCTA001-17;4;180;476;181;296
MCTA006-17;8;256;599;258;343
MCTA015-13;2;180;261;179;81
MCTA017-17;2;90;105;131;0
MCTA022-13;3;90;138;90;48
MCTA022-17;4;186;328;186;142
MCTA023-17;4;186;239;185;86
MCTA026-13;4;180;284;180;108
MCTA028-15;2;60;203;60;143
MCTA033-15;2;180;334;181;154
MCTB001-17;4;360;382;418;0
MCTB003-17;2;90;17;15;0
MCTB004-17;2;90;17;19;0
MCTB005-13;2;90;19;34;0
MCTB008-17;2;90;43;55;0
MCTB009-17;6;420;366;384;1
MCTB010-13;6;510;355;372;0
MCTB018-17;2;90;24;50;0
MCTB019-17;2;180;291;181;111
MCTB021-17;2;90;22;42;0
MCTB024-13;1;30;8;8;0
MCTB027-13;1;30;5;4;0
MCTC002-15;2;120;138;118;26
MCTC011-15;2;120;143;119;31
MCTC014-13;3;195;189;192;0
MCTC019-20;2;120;30;40;0
MCTC023-15;4;120;95;94;6
MCTC025-20;2;120;84;89;0
MCTD010-18;2;90;97;103;0
MCTD016-18;2;60;36;44;0
MCTD019-18;2;60;22;24;0
MCTD020-18;2;90;23;42;0
MCTD022-18;2;90;62;70;0
MCZA002-17;2;120;92;93;12
MCZA008-17;1;90;69;90;0
MCZA017-13;1;90;57;90;0
MCZA018-17;1;40;99;40;59
MCZA023-17;1;90;107;90;17
MCZA033-17;1;40;77;40;37
MCZA052-22;2;80;275;80;195
MCZA054-22;1;72;9;0;9
MCZB013-13;1;60;9;28;0
MCZB014-17;1;45;3;2;0
MCZB025-13;1;45;2;2;0
MCZC004-15;2;120;75;94;0
MCZC012-15;2;120;73;83;0
MCZC017-20;2;40;52;51;0
MCZD003-18;1;45;12;12;0
MCZD004-18;1;35;13;35;0
MCZD006-18;1;45;38;45;0
MCZD007-18;1;45;19;41;0
NHH2009-13;2;80;27;40;1
NHH2012-13;2;80;12;17;0
NHH2028-13;2;80;58;61;0
NHH2029-18;1;40;14;40;0
NHH2032-18;2;80;28;56;0
NHH2034-13;2;80;34;47;0
NHH2041-13;2;80;25;37;0
NHH2085-16;2;80;58;64;0
NHH2088-16;2;60;2;5;0
NHI2049-13;2;80;159;81;79
NHI5011-13;6;220;135;189;0
NHI5015-15;6;224;414;269;144
NHT1002-15;2;120;232;210;21
NHT1049-15;2;40;12;14;0
NHT1053-15;2;60;50;55;0
NHT1055-15;2;60;102;61;42
NHT1057-15;2;60;33;44;0
NHT1058-15;2;60;41;41;0
NHT1061-15;2;60;48;52;0
NHT1062-15;2;60;58;60;0
NHT1065-15;2;60;62;56;9
NHT1066-15;2;60;39;38;0
NHT1067-15;2;60;56;61;0
NHT1070-15;1;30;10;12;0
NHT1073-15;2;60;51;48;8
NHT1085-16;2;60;30;36;0
NHT1086-16;2;60;17;38;0
NHT3012-15;2;60;41;44;0
NHT3028-15;2;60;33;40;0
NHT3037-15;1;30;11;15;0
NHT3049-15;2;60;44;47;0
NHT3054-15;1;30;8;15;0
NHT3067-15;2;60;30;35;0
NHT3071-15;2;60;15;16;0
NHT3072-15;2;60;21;24;0
NHT3089-15;1;30;13;13;0
NHT3091-15;2;60;19;23;0
NHT4002-13;1;30;3;19;0
NHT4017-15;2;60;65;71;0
NHT4023-15;2;60;65;67;0
NHT4025-15;2;60;40;39;0
NHT4032-15;2;40;17;22;0
NHT4033-15;2;60;43;45;4
NHT4046-15;1;30;19;22;0
NHT4050-15;2;60;45;37;6
NHT4052-15;2;60;47;41;7
NHT4055-15;2;60;27;34;0
NHT4058-15;2;40;10;11;0
NHT4072-15;2;40;24;27;0
NHT4075-15;1;30;41;30;11
